ID,HOME_WINS,DRAW,AWAY_WINS
12303,1,0,0
12304,0,0,1
12305,0,1,0
12306,0,1,0
12307,0,1,0
12308,1,0,0
12309,0,1,0
12310,0,0,1
12311,0,0,1
12312,0,0,1
12313,0,0,1
12314,1,0,0
12315,0,0,1
12316,1,0,0
12317,0,1,0
12318,1,0,0
12319,0,1,0
12320,1,0,0
12321,1,0,0
12322,1,0,0
12323,0,0,1
12324,0,1,0
12325,0,1,0
12326,1,0,0
12327,0,0,1
12328,0,0,1
12329,1,0,0
12330,0,1,0
12331,0,0,1
12332,1,0,0
12333,1,0,0
12334,0,1,0
12335,1,0,0
12336,1,0,0
12337,1,0,0
12338,0,0,1
12339,0,0,1
12340,1,0,0
12341,0,0,1
12342,0,1,0
12343,1,0,0
12344,1,0,0
12345,0,1,0
12346,0,0,1
12347,1,0,0
12348,0,0,1
12349,1,0,0
12350,1,0,0
12351,1,0,0
12352,0,0,1
12353,0,0,1
12354,0,0,1
12355,1,0,0
12356,1,0,0
12357,1,0,0
12358,0,0,1
12359,0,0,1
12360,1,0,0
12361,0,0,1
12362,1,0,0
12363,0,0,1
12364,0,0,1
12365,0,0,1
12366,0,1,0
12367,0,0,1
12368,1,0,0
12369,1,0,0
12370,0,1,0
12371,1,0,0
12372,0,1,0
12373,0,0,1
12374,0,1,0
12375,0,1,0
12376,0,0,1
12377,0,1,0
12378,0,0,1
12379,1,0,0
12380,0,1,0
12381,0,0,1
12382,0,1,0
12383,0,1,0
12384,1,0,0
12385,0,0,1
12386,0,1,0
12387,1,0,0
12388,1,0,0
12389,0,1,0
12390,1,0,0
12391,0,1,0
12392,0,1,0
12393,1,0,0
12394,0,0,1
12395,1,0,0
12396,1,0,0
12397,1,0,0
12398,0,1,0
12399,0,0,1
12400,1,0,0
12401,1,0,0
12402,0,1,0
12403,1,0,0
12404,1,0,0
12405,1,0,0
12406,0,0,1
12407,0,0,1
12408,0,1,0
12409,0,0,1
12410,1,0,0
12411,0,1,0
12412,1,0,0
12413,1,0,0
12414,1,0,0
12415,0,0,1
12416,1,0,0
12417,0,0,1
12418,0,0,1
12419,0,1,0
12420,1,0,0
12421,1,0,0
12422,1,0,0
12423,0,1,0
12424,1,0,0
12425,0,0,1
12426,1,0,0
12427,0,1,0
12428,0,1,0
12429,0,1,0
12430,0,0,1
12431,0,0,1
12432,0,1,0
12433,1,0,0
12434,1,0,0
12435,0,0,1
12436,1,0,0
12437,0,1,0
12438,0,1,0
12439,0,1,0
12440,1,0,0
12441,0,0,1
12442,1,0,0
12443,0,0,1
12444,0,1,0
12445,0,1,0
12446,0,0,1
12447,0,1,0
12448,0,0,1
12449,1,0,0
12450,1,0,0
12451,1,0,0
12452,1,0,0
12453,1,0,0
12454,1,0,0
12455,0,1,0
12456,0,0,1
12457,1,0,0
12458,1,0,0
12459,1,0,0
12460,0,1,0
12461,0,0,1
12462,0,0,1
12463,0,1,0
12464,0,0,1
12465,1,0,0
12466,0,1,0
12467,0,1,0
12468,1,0,0
12469,1,0,0
12470,0,0,1
12471,0,0,1
12472,0,0,1
12473,0,0,1
12474,0,0,1
12475,1,0,0
12476,1,0,0
12477,1,0,0
12478,0,0,1
12479,0,0,1
12480,1,0,0
12481,0,0,1
12482,0,0,1
12483,0,0,1
12484,1,0,0
12485,1,0,0
12486,0,1,0
12487,0,0,1
12488,1,0,0
12489,1,0,0
12490,0,0,1
12491,0,0,1
12492,0,0,1
12493,1,0,0
12494,0,0,1
12495,0,0,1
12496,0,1,0
12497,1,0,0
12498,0,0,1
12499,0,0,1
12500,1,0,0
12501,1,0,0
12502,0,1,0
12503,0,0,1
12504,0,1,0
12505,0,1,0
12506,0,1,0
12507,0,0,1
12508,1,0,0
12509,0,1,0
12510,1,0,0
12511,0,1,0
12512,1,0,0
12513,0,0,1
12514,1,0,0
12515,0,1,0
12516,1,0,0
12517,0,1,0
12518,0,0,1
12519,1,0,0
12520,0,0,1
12521,0,0,1
12522,0,0,1
12523,1,0,0
12524,0,1,0
12525,0,1,0
12526,0,1,0
12527,1,0,0
12528,0,0,1
12529,0,0,1
12530,0,0,1
12531,1,0,0
12532,1,0,0
12533,0,0,1
12534,0,0,1
12535,0,0,1
12536,1,0,0
12537,0,1,0
12538,1,0,0
12539,0,0,1
12540,0,1,0
12541,1,0,0
12542,0,0,1
12543,0,0,1
12544,1,0,0
12545,1,0,0
12546,0,0,1
12547,1,0,0
12548,1,0,0
12549,1,0,0
12550,0,0,1
12551,0,0,1
12552,0,0,1
12553,1,0,0
12554,0,0,1
12555,0,1,0
12556,0,0,1
12557,0,1,0
12558,0,0,1
12559,0,1,0
12560,1,0,0
12561,1,0,0
12562,0,0,1
12563,1,0,0
12564,0,0,1
12565,1,0,0
12566,1,0,0
12567,0,0,1
12568,1,0,0
12569,0,0,1
12570,1,0,0
12571,0,0,1
12572,1,0,0
12573,1,0,0
12574,1,0,0
12575,1,0,0
12576,0,0,1
12577,1,0,0
12578,0,1,0
12579,0,0,1
12580,0,0,1
12581,0,1,0
12582,0,1,0
12583,0,0,1
12584,0,1,0
12585,0,1,0
12586,1,0,0
12587,0,1,0
12588,0,0,1
12589,0,0,1
12590,0,0,1
12591,0,1,0
12592,1,0,0
12593,0,1,0
12594,0,0,1
12595,0,0,1
12596,1,0,0
12597,0,0,1
12598,1,0,0
12599,1,0,0
12600,1,0,0
12601,0,1,0
12602,1,0,0
12603,0,1,0
12604,0,0,1
12605,1,0,0
12606,0,0,1
12607,1,0,0
12608,0,0,1
12609,0,0,1
12610,1,0,0
12611,0,0,1
12612,1,0,0
12613,0,0,1
12614,1,0,0
12615,0,1,0
12616,0,0,1
12617,1,0,0
12618,0,1,0
12619,1,0,0
12620,1,0,0
12621,0,0,1
12622,0,0,1
12623,1,0,0
12624,1,0,0
12625,1,0,0
12626,0,0,1
12627,0,1,0
12628,0,0,1
12629,1,0,0
12630,0,1,0
12631,0,0,1
12632,0,1,0
12633,0,0,1
12634,0,0,1
12635,1,0,0
12636,0,1,0
12637,1,0,0
12638,0,1,0
12639,1,0,0
12640,0,1,0
12641,0,0,1
12642,0,0,1
12643,0,0,1
12644,0,1,0
12645,0,0,1
12646,0,1,0
12647,1,0,0
12648,0,1,0
12649,0,0,1
12650,0,0,1
12651,1,0,0
12652,1,0,0
12653,0,1,0
12654,0,0,1
12655,1,0,0
12656,0,0,1
12657,0,1,0
12658,0,1,0
12659,1,0,0
12660,0,0,1
12661,1,0,0
12662,0,0,1
12663,0,0,1
12664,0,0,1
12665,1,0,0
12666,1,0,0
12667,1,0,0
12668,0,1,0
12669,0,0,1
12670,1,0,0
12671,0,1,0
12672,0,0,1
12673,1,0,0
12674,1,0,0
12675,0,0,1
12676,0,0,1
12677,0,1,0
12678,0,0,1
12679,1,0,0
12680,0,1,0
12681,0,0,1
12682,0,0,1
12683,0,0,1
12684,1,0,0
12685,1,0,0
12686,1,0,0
12687,0,1,0
12688,0,0,1
12689,0,1,0
12690,0,0,1
12691,1,0,0
12692,0,0,1
12693,1,0,0
12694,0,0,1
12695,0,0,1
12696,0,0,1
12697,0,0,1
12698,1,0,0
12699,0,1,0
12700,1,0,0
12701,0,0,1
12702,1,0,0
12703,1,0,0
12704,1,0,0
12705,1,0,0
12706,0,1,0
12707,1,0,0
12708,1,0,0
12709,0,0,1
12710,1,0,0
12711,0,0,1
12712,0,0,1
12713,1,0,0
12714,1,0,0
12715,0,0,1
12716,1,0,0
12717,0,1,0
12718,0,0,1
12719,1,0,0
12720,0,0,1
12721,1,0,0
12722,0,1,0
12723,0,0,1
12724,0,1,0
12725,0,0,1
12726,1,0,0
12727,1,0,0
12728,0,0,1
12729,0,1,0
12730,0,0,1
12731,1,0,0
12732,1,0,0
12733,0,0,1
12734,1,0,0
12735,0,1,0
12736,1,0,0
12737,0,0,1
12738,1,0,0
12739,0,1,0
12740,1,0,0
12741,1,0,0
12742,1,0,0
12743,1,0,0
12744,1,0,0
12745,0,1,0
12746,0,0,1
12747,1,0,0
12748,0,0,1
12749,1,0,0
12750,1,0,0
12751,1,0,0
12752,0,1,0
12753,1,0,0
12754,1,0,0
12755,1,0,0
12756,0,1,0
12757,1,0,0
12758,1,0,0
12759,0,0,1
12760,0,1,0
12761,0,1,0
12762,0,1,0
12763,1,0,0
12764,0,1,0
12765,0,0,1
12766,0,0,1
12767,1,0,0
12768,0,0,1
12769,0,1,0
12770,0,0,1
12771,1,0,0
12772,0,1,0
12773,1,0,0
12774,0,1,0
12775,1,0,0
12776,1,0,0
12777,0,0,1
12778,0,1,0
12779,1,0,0
12780,1,0,0
12781,0,1,0
12782,0,0,1
12783,0,0,1
12784,0,0,1
12785,1,0,0
12786,0,1,0
12787,0,0,1
12788,0,0,1
12789,1,0,0
12790,1,0,0
12791,0,0,1
12792,1,0,0
12793,0,0,1
12794,0,0,1
12795,1,0,0
12796,0,1,0
12797,0,0,1
12798,0,0,1
12799,1,0,0
12800,0,1,0
12801,1,0,0
12802,0,0,1
12803,1,0,0
12804,0,0,1
12805,0,0,1
12806,0,1,0
12807,0,0,1
12808,0,1,0
12809,1,0,0
12810,0,1,0
12811,0,1,0
12812,0,1,0
12813,1,0,0
12814,1,0,0
12815,0,1,0
12816,0,0,1
12817,0,0,1
12818,1,0,0
12819,0,1,0
12820,1,0,0
12821,0,1,0
12822,0,1,0
12823,0,1,0
12824,0,0,1
12825,0,0,1
12826,0,0,1
12827,0,1,0
12828,1,0,0
12829,0,0,1
12830,0,0,1
12831,1,0,0
12832,0,0,1
12833,0,1,0
12834,1,0,0
12835,0,0,1
12836,0,1,0
12837,0,1,0
12838,1,0,0
12839,1,0,0
12840,1,0,0
12841,1,0,0
12842,1,0,0
12843,0,0,1
12844,1,0,0
12845,0,0,1
12846,1,0,0
12847,0,0,1
12848,0,0,1
12849,1,0,0
12850,1,0,0
12851,0,1,0
12852,1,0,0
12853,1,0,0
12854,0,0,1
12855,0,1,0
12856,0,0,1
12857,1,0,0
12858,0,1,0
12859,0,0,1
12860,1,0,0
12861,1,0,0
12862,1,0,0
12863,0,0,1
12864,0,0,1
12865,0,0,1
12866,0,0,1
12867,1,0,0
12868,0,1,0
12869,1,0,0
12870,0,0,1
12871,0,0,1
12872,0,1,0
12873,0,1,0
12874,0,0,1
12875,1,0,0
12876,1,0,0
12877,0,1,0
12878,0,0,1
12879,0,1,0
12880,1,0,0
12881,0,0,1
12882,1,0,0
12883,0,1,0
12884,1,0,0
12885,1,0,0
12886,0,0,1
12887,0,1,0
12888,0,0,1
12889,1,0,0
12890,1,0,0
12891,1,0,0
12892,0,0,1
12893,0,1,0
12894,0,0,1
12895,1,0,0
12896,0,0,1
12897,1,0,0
12898,0,0,1
12899,0,0,1
12900,0,0,1
12901,1,0,0
12902,1,0,0
12903,0,1,0
12904,0,0,1
12905,0,0,1
12906,0,0,1
12907,0,0,1
12908,1,0,0
12909,0,1,0
12910,0,0,1
12911,1,0,0
12912,0,0,1
12913,0,1,0
12914,1,0,0
12915,1,0,0
12916,0,1,0
12917,1,0,0
12918,0,0,1
12919,0,0,1
12920,0,1,0
12921,1,0,0
12922,0,1,0
12923,1,0,0
12924,0,1,0
12925,0,1,0
12926,0,0,1
12927,1,0,0
12928,1,0,0
12929,1,0,0
12930,0,0,1
12931,1,0,0
12932,0,1,0
12933,0,0,1
12934,1,0,0
12935,0,1,0
12936,0,0,1
12937,0,0,1
12938,1,0,0
12939,1,0,0
12940,0,1,0
12941,0,0,1
12942,0,1,0
12943,0,1,0
12944,0,1,0
12945,0,0,1
12946,1,0,0
12947,0,1,0
12948,0,1,0
12949,1,0,0
12950,1,0,0
12951,0,0,1
12952,0,0,1
12953,0,0,1
12954,0,0,1
12955,1,0,0
12956,0,0,1
12957,1,0,0
12958,0,1,0
12959,0,0,1
12960,1,0,0
12961,0,1,0
12962,0,1,0
12963,0,1,0
12964,0,0,1
12965,1,0,0
12966,1,0,0
12967,1,0,0
12968,1,0,0
12969,1,0,0
12970,0,1,0
12971,0,1,0
12972,0,0,1
12973,0,1,0
12974,0,1,0
12975,1,0,0
12976,1,0,0
12977,0,0,1
12978,1,0,0
12979,0,1,0
12980,0,0,1
12981,1,0,0
12982,1,0,0
12983,1,0,0
12984,0,0,1
12985,0,1,0
12986,1,0,0
12987,0,0,1
12988,0,0,1
12989,1,0,0
12990,0,0,1
12991,1,0,0
12992,1,0,0
12993,1,0,0
12994,0,0,1
12995,0,1,0
12996,0,0,1
12997,1,0,0
12998,1,0,0
12999,1,0,0
13000,1,0,0
13001,1,0,0
13002,0,0,1
13003,1,0,0
13004,1,0,0
13005,1,0,0
13006,0,0,1
13007,0,0,1
13008,1,0,0
13009,0,1,0
13010,0,0,1
13011,0,1,0
13012,1,0,0
13013,0,0,1
13014,0,1,0
13015,1,0,0
13016,0,1,0
13017,1,0,0
13018,0,0,1
13019,1,0,0
13020,1,0,0
13021,1,0,0
13022,0,0,1
13023,0,0,1
13024,0,1,0
13025,0,0,1
13026,1,0,0
13027,1,0,0
13028,1,0,0
13029,1,0,0
13030,1,0,0
13031,1,0,0
13032,1,0,0
13033,1,0,0
13034,1,0,0
13035,1,0,0
13036,0,1,0
13037,0,1,0
13038,0,1,0
13039,1,0,0
13040,1,0,0
13041,0,0,1
13042,0,0,1
13043,1,0,0
13044,0,0,1
13045,0,1,0
13046,0,0,1
13047,1,0,0
13048,1,0,0
13049,0,1,0
13050,0,1,0
13051,0,0,1
13052,1,0,0
13053,0,0,1
13054,0,1,0
13055,0,1,0
13056,0,0,1
13057,1,0,0
13058,0,1,0
13059,0,1,0
13060,0,1,0
13061,0,0,1
13062,1,0,0
13063,0,0,1
13064,0,0,1
13065,0,0,1
13066,0,0,1
13067,0,0,1
13068,0,1,0
13069,1,0,0
13070,1,0,0
13071,0,1,0
13072,0,0,1
13073,0,1,0
13074,1,0,0
13075,1,0,0
13076,1,0,0
13077,0,0,1
13078,1,0,0
13079,0,1,0
13080,0,0,1
13081,0,0,1
13082,0,1,0
13083,0,0,1
13084,0,0,1
13085,0,0,1
13086,0,0,1
13087,0,1,0
13088,0,1,0
13089,1,0,0
13090,1,0,0
13091,1,0,0
13092,1,0,0
13093,0,1,0
13094,0,1,0
13095,0,1,0
13096,0,0,1
13097,0,1,0
13098,1,0,0
13099,0,1,0
13100,1,0,0
13101,0,0,1
13102,0,0,1
13103,0,1,0
13104,0,0,1
13105,0,1,0
13106,1,0,0
13107,1,0,0
13108,1,0,0
13109,1,0,0
13110,1,0,0
13111,0,1,0
13112,1,0,0
13113,0,1,0
13114,0,0,1
13115,0,1,0
13116,1,0,0
13117,0,0,1
13118,1,0,0
13119,0,0,1
13120,0,1,0
13121,0,0,1
13122,1,0,0
13123,1,0,0
13124,0,0,1
13125,1,0,0
13126,1,0,0
13127,0,1,0
13128,0,1,0
13129,0,1,0
13130,1,0,0
13131,1,0,0
13132,1,0,0
13133,0,0,1
13134,1,0,0
13135,0,1,0
13136,1,0,0
13137,1,0,0
13138,0,1,0
13139,1,0,0
13140,0,0,1
13141,1,0,0
13142,0,0,1
13143,0,1,0
13144,0,1,0
13145,0,1,0
13146,1,0,0
13147,0,0,1
13148,0,1,0
13149,1,0,0
13150,1,0,0
13151,1,0,0
13152,0,1,0
13153,0,0,1
13154,0,1,0
13155,1,0,0
13156,0,0,1
13157,0,0,1
13158,1,0,0
13159,1,0,0
13160,1,0,0
13161,0,0,1
13162,0,0,1
13163,0,1,0
13164,0,1,0
13165,0,0,1
13166,0,1,0
13167,0,1,0
13168,0,1,0
13169,0,1,0
13170,1,0,0
13171,1,0,0
13172,0,1,0
13173,1,0,0
13174,0,1,0
13175,0,0,1
13176,0,0,1
13177,0,0,1
13178,1,0,0
13179,0,0,1
13180,0,1,0
13181,0,0,1
13182,0,1,0
13183,1,0,0
13184,1,0,0
13185,0,0,1
13186,0,0,1
13187,1,0,0
13188,0,1,0
13189,1,0,0
13190,1,0,0
13191,0,0,1
13192,1,0,0
13193,0,1,0
13194,0,0,1
13195,0,1,0
13196,0,1,0
13197,0,1,0
13198,1,0,0
13199,1,0,0
13200,0,0,1
13201,1,0,0
13202,0,0,1
13203,1,0,0
13204,0,1,0
13205,1,0,0
13206,0,1,0
13207,0,0,1
13208,1,0,0
13209,1,0,0
13210,0,1,0
13211,1,0,0
13212,0,1,0
13213,1,0,0
13214,1,0,0
13215,1,0,0
13216,1,0,0
13217,1,0,0
13218,1,0,0
13219,1,0,0
13220,1,0,0
13221,0,1,0
13222,0,1,0
13223,0,0,1
13224,0,0,1
13225,0,0,1
13226,1,0,0
13227,1,0,0
13228,1,0,0
13229,1,0,0
13230,1,0,0
13231,0,1,0
13232,0,0,1
13233,0,1,0
13234,0,0,1
13235,0,0,1
13236,0,0,1
13237,1,0,0
13238,0,0,1
13239,0,1,0
13240,0,0,1
13241,0,0,1
13242,0,0,1
13243,1,0,0
